"MSK-IMPACT Clinical Sequencing Cohort (MSKCC, Nat Med 2017)",prad_su2c_2015,10945
"MSS Mixed Solid Tumors (Broad/Dana-Farber, Nat Genet 2018)",metastatic_solid_tumors_mich_2017,249
"Multiple Myeloma (Broad, Cancer Cell 2014)",mm_broad,205
"Myelodysplasia (UTokyo, Nature 2011)",mds_tokyo_2011,29
"Myeloproliferative Neoplasms (CIMR, NEJM 2013)",mpn_cimr_2013,151
"Nasopharyngeal Carcinoma (Singapore, Nat Genet 2014)",cellline_nci60,56
"NCI-60 Cell Lines (NCI, Cancer Res 2012)",npc_nusingapore,60
"Neuroblastoma (AMC Amsterdam, Nature 2012)",nbl_amc_2012,87
"Neuroblastoma (Broad, Nat Genet 2013)",nbl_broad_2013,240
"Neuroblastoma (Broad, Nature 2015)",nbl_ucologne_2015,56
"Neuroendocrine Prostate Cancer (Multi-Institute, Nat Med 2016)",nepc_wcm_2016,114
"Non-Hodgkin Lymphoma (BCGSC, Nature 2011)",nhl_bcgsc_2011,14
"Non-Small Cell Cancer (MSKCC, Cancer Discov 2017)",lung_msk_2017,915
"Non-Small Cell Lung Cancer (MSK, Cancer Cell 2018)",nsclc_mskcc_2018,75
"Non-small cell lung cancer (MSK, Science 2015)",nsclc_pd1_msk_2018,16
"Non-Small Cell Lung Cancer (MSKCC, J Clin Oncol 2018)",nsclc_tracerx_2017,240
"Non-Small Cell Lung Cancer (TRACERx, NEJM 2017)",nsclc_unito_2016,327
"Non-Small Cell Lung Cancer (University of Turin, Lung Cancer 2017)",nsclc_mskcc_2015,41
Nonmuscle Invasive Bladder Cancer (MSK Eur Urol 2017),blca_nmibc_2017,105
"Oral Squamous Cell Carcinoma (MD Anderson, Cancer Discov 2013)",hnsc_mdanderson_2013,40
"Ovarian Serous Cystadenocarcinoma (TCGA, Nature 2011)",ov_tcga_pub,316
"Ovarian Serous Cystadenocarcinoma (TCGA, PanCancer Atlas)",ov_tcga_pan_can_atlas_2018,523
"Ovarian Serous Cystadenocarcinoma (TCGA, Provisional)",ov_tcga,316
"Pan-Lung Cancer (TCGA, Nat Genet 2016)",nsclc_tcga_broad_2016,1144
"Pancreatic Adenocarcinoma (ICGC, Nature 2012)",paad_icgc,99
"Pancreatic Adenocarcinoma (QCMG, Nature 2016)",paad_qcmg_uq_2016,383
"Pancreatic Adenocarcinoma (TCGA, PanCancer Atlas)",paad_tcga_pan_can_atlas_2018,179
"Pancreatic Adenocarcinoma (TCGA, Provisional)",paad_tcga,150
"Pancreatic Cancer (UTSW, Nat Commun 2015)",paad_utsw_2015,109
"Pancreatic Neuroendocrine Tumors (Johns Hopkins University, Science 2011)",panet_jhu_2011,10
"Pancreatic Neuroendocrine Tumors (Multi-Institute, Nature 2017)",panet_arcnet_2017,98
"Papillary Thyroid Carcinoma (TCGA, Cell 2014)",thca_tcga_pub,414
"Pediatric Acute Lymphoid Leukemia - Phase II (TARGET, 2018)",all_phase2_target_2018_pub,150
"Pediatric Acute Myeloid Leukemia (TARGET, 2018)",aml_target_2018_pub,150
"Pediatric Ewing Sarcoma (DFCI, Cancer Discov 2014)",es_dfarber_broad_2014,107
"Pediatric Neuroblastoma (TARGET, 2018)",nbl_target_2018_pub,372
"Pediatric Pan-cancer (Columbia U, Genome Med 2016)",pediatric_dkfz_2017,103
"Pediatric Pan-Cancer (DKFZ, Nature 2017)",mixed_pipseq_2017,876
"Pediatric Preclinical Testing Consortium (Maris, 2019)",pptc_2019,242
"Pediatric Rhabdoid Tumor (TARGET, 2018)",rt_target_2018_pub,34
"Pediatric Wilms' Tumor (TARGET, 2018)",wt_target_2018_pub,102
"Pheochromocytoma and Paraganglioma (TCGA, Cell 2017)",pcpg_tcga_pub,178
"Pheochromocytoma and Paraganglioma (TCGA, PanCancer Atlas)",pcpg_tcga_pan_can_atlas_2018,178
"Pheochromocytoma and Paraganglioma (TCGA, Provisional)",pcpg_tcga,184
"Pilocytic Astrocytoma (ICGC, Nature Genetics 2013)",past_dkfz_heidelberg_2013,96
"Pleural Mesothelioma (NYU, Cancer Res 2015)",plmeso_nyu_2015,22
"Poorly-Differentiated and Anaplastic Thyroid Cancers (MSKCC, JCI 2016)",thyroid_mskcc_2016,117
"Primary Central Nervous System Lymphoma (Mayo Clinic, Clin Cancer Res 2015)",pcnsl_mayo_2015,10
"Prostate Adenocarcinoma (Broad/Cornell, Cell 2013)",prad_broad_2013,57
"Prostate Adenocarcinoma (Broad/Cornell, Nat Genet 2012)",prad_broad,112
"Prostate Adenocarcinoma (CPC-GENE, Nature 2017)",prad_cpcg_2017,477
"Prostate Adenocarcinoma (Fred Hutchinson CRC, Nat Med 2016)",prad_fhcrc,141
"Prostate Adenocarcinoma (MSKCC, Cancer Cell 2010)",prad_mskcc,112
"Prostate Adenocarcinoma (MSKCC, PNAS 2014)",prad_mskcc_2014,0
"Prostate Adenocarcinoma (MSKCC/DFCI, Nature Genetics 2018)",prad_p1000,1013
"Prostate Adenocarcinoma (SMMU, Eur Urol 2017)",prad_eururol_2017,65
"Prostate Adenocarcinoma (TCGA, Cell 2015)",prad_tcga_pub,333
"Prostate Adenocarcinoma (TCGA, PanCancer Atlas)",prad_tcga_pan_can_atlas_2018,494
"Prostate Adenocarcinoma (TCGA, Provisional)",prad_tcga,499
"Prostate Adenocarcinoma Organoids (MSKCC, Cell 2014)",prad_mskcc_cheny1_organoids_2014,12
"Prostate Cancer (DKFZ, Cancer Cell 2018)",prostate_dkfz_2018,313
"Prostate Cancer (MSK, 2019)",prad_msk_2019,18
"Prostate Cancer (MSKCC, JCO Precis Oncol 2017)",prad_mskcc_2017,504
"Rectal Cancer (MSK,Nature Medicine 2019)",rectal_msk_2019,334
"Recurrent and Metastatic Head & Neck Cancer (MSKCC, JAMA Oncol 2016)",hnc_mskcc_2016,151
"Renal Clear Cell Carcinoma (UTokyo, Nat Genet 2013)",ccrcc_utokyo_2013,106
